timestep	swarm_quality	color_0	color_1
0	0.70	70	30
1	0.70	70	30
2	0.70	70	30
3	0.70	70	30
4	0.69	69	31
5	0.69	69	31
6	0.69	69	31
7	0.69	69	31
8	0.68	68	32
9	0.68	68	32
10	0.68	68	32
11	0.67	67	33
12	0.67	67	33
13	0.67	67	33
14	0.67	67	33
15	0.67	67	33
16	0.67	67	33
17	0.67	67	33
18	0.67	67	33
19	0.67	67	33
20	0.67	67	33
21	0.67	67	33
22	0.67	67	33
23	0.67	67	33
24	0.66	66	34
25	0.66	66	34
26	0.66	66	34
27	0.66	66	34
28	0.66	66	34
29	0.66	66	34
30	0.66	66	34
31	0.66	66	34
32	0.66	66	34
33	0.66	66	34
34	0.66	66	34
35	0.66	66	34
36	0.66	66	34
37	0.66	66	34
38	0.66	66	34
39	0.66	66	34
40	0.66	66	34
41	0.66	66	34
42	0.66	66	34
43	0.66	66	34
44	0.66	66	34
45	0.65	65	35
46	0.65	65	35
47	0.65	65	35
48	0.65	65	35
49	0.65	65	35
50	0.65	65	35
51	0.64	64	36
52	0.64	64	36
53	0.64	64	36
54	0.64	64	36
55	0.64	64	36
56	0.64	64	36
57	0.64	64	36
58	0.64	64	36
59	0.64	64	36
60	0.64	64	36
61	0.64	64	36
62	0.64	64	36
63	0.64	64	36
64	0.64	64	36
65	0.64	64	36
66	0.64	64	36
67	0.63	63	37
68	0.63	63	37
69	0.63	63	37
70	0.64	64	36
71	0.65	65	35
72	0.66	66	34
73	0.67	67	33
74	0.68	68	32
75	0.69	69	31
76	0.69	69	31
77	0.70	70	30
78	0.70	70	30
79	0.71	71	29
80	0.72	72	28
81	0.73	73	27
82	0.74	74	26
83	0.75	75	25
84	0.76	76	24
85	0.77	77	23
86	0.77	77	23
87	0.78	78	22
88	0.79	79	21
89	0.80	80	20
90	0.80	80	20
91	0.81	81	19
92	0.82	82	18
93	0.83	83	17
94	0.83	83	17
95	0.83	83	17
96	0.84	84	16
97	0.85	85	15
98	0.86	86	14
99	0.87	87	13
100	0.87	87	13
101	0.87	87	13
102	0.87	87	13
103	0.86	86	14
104	0.87	87	13
105	0.87	87	13
106	0.87	87	13
107	0.86	86	14
108	0.87	87	13
109	0.87	87	13
110	0.87	87	13
111	0.87	87	13
112	0.87	87	13
113	0.87	87	13
114	0.87	87	13
115	0.87	87	13
116	0.87	87	13
117	0.87	87	13
118	0.87	87	13
119	0.87	87	13
120	0.87	87	13
121	0.87	87	13
122	0.87	87	13
123	0.86	86	14
124	0.87	87	13
125	0.87	87	13
126	0.87	87	13
127	0.87	87	13
128	0.86	86	14
129	0.86	86	14
130	0.86	86	14
131	0.86	86	14
132	0.86	86	14
133	0.86	86	14
134	0.86	86	14
135	0.85	85	15
136	0.85	85	15
137	0.85	85	15
138	0.85	85	15
139	0.85	85	15
140	0.85	85	15
141	0.85	85	15
142	0.85	85	15
143	0.85	85	15
144	0.85	85	15
145	0.86	86	14
146	0.86	86	14
147	0.86	86	14
148	0.86	86	14
149	0.86	86	14
150	0.86	86	14
151	0.87	87	13
152	0.86	86	14
153	0.86	86	14
154	0.86	86	14
155	0.86	86	14
156	0.85	85	15
157	0.85	85	15
158	0.84	84	16
159	0.84	84	16
160	0.84	84	16
161	0.84	84	16
162	0.84	84	16
163	0.84	84	16
164	0.84	84	16
165	0.84	84	16
166	0.84	84	16
167	0.85	85	15
168	0.85	85	15
169	0.85	85	15
170	0.85	85	15
171	0.84	84	16
172	0.84	84	16
173	0.84	84	16
174	0.84	84	16
175	0.84	84	16
176	0.84	84	16
177	0.84	84	16
178	0.85	85	15
179	0.85	85	15
180	0.85	85	15
181	0.85	85	15
182	0.84	84	16
183	0.84	84	16
184	0.84	84	16
185	0.84	84	16
186	0.85	85	15
187	0.85	85	15
188	0.85	85	15
189	0.85	85	15
190	0.86	86	14
191	0.86	86	14
192	0.86	86	14
193	0.86	86	14
194	0.87	87	13
195	0.88	88	12
196	0.88	88	12
197	0.88	88	12
198	0.88	88	12
199	0.88	88	12
200	0.88	88	12
201	0.87	87	13
202	0.87	87	13
203	0.88	88	12
204	0.88	88	12
205	0.88	88	12
206	0.87	87	13
207	0.88	88	12
208	0.88	88	12
209	0.88	88	12
210	0.87	87	13
211	0.87	87	13
212	0.87	87	13
213	0.87	87	13
214	0.87	87	13
215	0.87	87	13
216	0.87	87	13
217	0.86	86	14
218	0.86	86	14
219	0.86	86	14
220	0.86	86	14
221	0.86	86	14
222	0.86	86	14
223	0.87	87	13
224	0.87	87	13
225	0.87	87	13
226	0.87	87	13
227	0.87	87	13
228	0.88	88	12
229	0.88	88	12
230	0.87	87	13
231	0.87	87	13
232	0.87	87	13
233	0.87	87	13
234	0.87	87	13
235	0.88	88	12
236	0.87	87	13
237	0.87	87	13
238	0.87	87	13
239	0.87	87	13
240	0.87	87	13
241	0.87	87	13
242	0.87	87	13
243	0.87	87	13
244	0.87	87	13
245	0.86	86	14
246	0.86	86	14
247	0.86	86	14
248	0.86	86	14
249	0.86	86	14
250	0.85	85	15
251	0.85	85	15
252	0.86	86	14
253	0.86	86	14
254	0.86	86	14
255	0.86	86	14
256	0.87	87	13
257	0.87	87	13
258	0.88	88	12
259	0.87	87	13
260	0.87	87	13
261	0.87	87	13
262	0.87	87	13
263	0.87	87	13
264	0.86	86	14
265	0.85	85	15
266	0.85	85	15
267	0.85	85	15
268	0.85	85	15
269	0.85	85	15
270	0.85	85	15
271	0.86	86	14
272	0.86	86	14
273	0.86	86	14
274	0.86	86	14
275	0.86	86	14
276	0.87	87	13
277	0.87	87	13
278	0.87	87	13
279	0.87	87	13
280	0.87	87	13
281	0.87	87	13
282	0.88	88	12
283	0.88	88	12
284	0.88	88	12
285	0.88	88	12
286	0.88	88	12
287	0.88	88	12
288	0.88	88	12
289	0.88	88	12
290	0.88	88	12
291	0.88	88	12
292	0.88	88	12
293	0.88	88	12
294	0.88	88	12
295	0.88	88	12
296	0.88	88	12
297	0.88	88	12
298	0.88	88	12
299	0.88	88	12
300	0.88	88	12
301	0.89	89	11
302	0.89	89	11
303	0.89	89	11
304	0.89	89	11
305	0.89	89	11
306	0.90	90	10
307	0.90	90	10
308	0.90	90	10
309	0.90	90	10
310	0.91	91	9
311	0.92	92	8
312	0.92	92	8
313	0.92	92	8
314	0.92	92	8
315	0.92	92	8
316	0.92	92	8
317	0.93	93	7
318	0.93	93	7
319	0.92	92	8
320	0.92	92	8
321	0.92	92	8
322	0.92	92	8
323	0.92	92	8
324	0.92	92	8
325	0.92	92	8
326	0.92	92	8
327	0.92	92	8
328	0.92	92	8
329	0.91	91	9
330	0.92	92	8
331	0.92	92	8
332	0.92	92	8
333	0.92	92	8
334	0.92	92	8
335	0.92	92	8
336	0.93	93	7
337	0.93	93	7
338	0.93	93	7
339	0.93	93	7
340	0.93	93	7
341	0.93	93	7
342	0.93	93	7
343	0.93	93	7
344	0.93	93	7
345	0.94	94	6
346	0.94	94	6
347	0.94	94	6
348	0.94	94	6
349	0.94	94	6
350	0.95	95	5
351	0.95	95	5
352	0.95	95	5
353	0.95	95	5
354	0.95	95	5
355	0.95	95	5
356	0.95	95	5
357	0.95	95	5
358	0.95	95	5
359	0.96	96	4
360	0.96	96	4
361	0.96	96	4
362	0.96	96	4
363	0.96	96	4
364	0.97	97	3
365	0.98	98	2
366	0.98	98	2
367	0.98	98	2
368	0.98	98	2
369	0.98	98	2
370	0.98	98	2
371	0.97	97	3
372	0.97	97	3
373	0.97	97	3
374	0.97	97	3
375	0.97	97	3
376	0.96	96	4
377	0.96	96	4
378	0.96	96	4
379	0.96	96	4
380	0.96	96	4
381	0.95	95	5
382	0.95	95	5
383	0.95	95	5
384	0.95	95	5
385	0.95	95	5
386	0.95	95	5
387	0.94	94	6
388	0.94	94	6
389	0.93	93	7
390	0.93	93	7
391	0.93	93	7
392	0.93	93	7
393	0.92	92	8
394	0.92	92	8
395	0.92	92	8
396	0.92	92	8
397	0.92	92	8
398	0.91	91	9
399	0.91	91	9
400	0.91	91	9
401	0.91	91	9
402	0.91	91	9
403	0.91	91	9
404	0.91	91	9
405	0.90	90	10
406	0.90	90	10
407	0.89	89	11
408	0.89	89	11
409	0.89	89	11
410	0.88	88	12
411	0.87	87	13
412	0.87	87	13
413	0.86	86	14
414	0.86	86	14
415	0.86	86	14
416	0.86	86	14
417	0.86	86	14
418	0.86	86	14
419	0.86	86	14
420	0.85	85	15
421	0.85	85	15
422	0.85	85	15
423	0.85	85	15
424	0.85	85	15
425	0.85	85	15
426	0.85	85	15
427	0.85	85	15
428	0.85	85	15
429	0.86	86	14
430	0.86	86	14
431	0.86	86	14
432	0.86	86	14
433	0.86	86	14
434	0.86	86	14
435	0.86	86	14
436	0.86	86	14
437	0.86	86	14
438	0.86	86	14
439	0.86	86	14
440	0.86	86	14
441	0.86	86	14
442	0.86	86	14
443	0.86	86	14
444	0.86	86	14
445	0.86	86	14
446	0.86	86	14
447	0.86	86	14
448	0.86	86	14
449	0.86	86	14
450	0.86	86	14
451	0.86	86	14
452	0.86	86	14
453	0.86	86	14
454	0.86	86	14
455	0.86	86	14
456	0.85	85	15
457	0.85	85	15
458	0.85	85	15
459	0.85	85	15
460	0.85	85	15
461	0.85	85	15
462	0.85	85	15
463	0.85	85	15
464	0.85	85	15
465	0.85	85	15
466	0.85	85	15
467	0.85	85	15
468	0.85	85	15
469	0.85	85	15
470	0.85	85	15
471	0.86	86	14
472	0.86	86	14
473	0.86	86	14
474	0.86	86	14
475	0.86	86	14
476	0.87	87	13
477	0.87	87	13
478	0.87	87	13
479	0.87	87	13
480	0.87	87	13
481	0.88	88	12
482	0.88	88	12
483	0.88	88	12
484	0.87	87	13
485	0.87	87	13
486	0.87	87	13
487	0.88	88	12
488	0.88	88	12
489	0.89	89	11
490	0.89	89	11
491	0.89	89	11
492	0.89	89	11
493	0.90	90	10
494	0.90	90	10
495	0.89	89	11
496	0.89	89	11
497	0.89	89	11
498	0.90	90	10
499	0.90	90	10
500	0.89	89	11
501	0.89	89	11
502	0.89	89	11
503	0.89	89	11
504	0.89	89	11
505	0.90	90	10
506	0.90	90	10
507	0.91	91	9
508	0.91	91	9
509	0.91	91	9
510	0.92	92	8
511	0.93	93	7
512	0.93	93	7
513	0.94	94	6
514	0.93	93	7
515	0.93	93	7
516	0.93	93	7
517	0.93	93	7
518	0.93	93	7
519	0.94	94	6
520	0.95	95	5
521	0.95	95	5
522	0.95	95	5
523	0.95	95	5
524	0.95	95	5
525	0.95	95	5
526	0.95	95	5
527	0.95	95	5
528	0.94	94	6
529	0.94	94	6
530	0.94	94	6
531	0.94	94	6
532	0.94	94	6
533	0.94	94	6
534	0.93	93	7
535	0.92	92	8
536	0.92	92	8
537	0.92	92	8
538	0.92	92	8
539	0.91	91	9
540	0.91	91	9
541	0.91	91	9
542	0.91	91	9
543	0.91	91	9
544	0.91	91	9
545	0.91	91	9
546	0.91	91	9
547	0.91	91	9
548	0.91	91	9
549	0.91	91	9
550	0.91	91	9
551	0.91	91	9
552	0.91	91	9
553	0.91	91	9
554	0.91	91	9
555	0.91	91	9
556	0.92	92	8
557	0.92	92	8
558	0.92	92	8
559	0.92	92	8
560	0.92	92	8
561	0.92	92	8
562	0.92	92	8
563	0.92	92	8
564	0.92	92	8
565	0.92	92	8
566	0.92	92	8
567	0.92	92	8
568	0.92	92	8
569	0.92	92	8
570	0.92	92	8
571	0.91	91	9
572	0.91	91	9
573	0.91	91	9
574	0.91	91	9
575	0.91	91	9
576	0.91	91	9
577	0.91	91	9
578	0.91	91	9
579	0.91	91	9
580	0.91	91	9
581	0.91	91	9
582	0.91	91	9
583	0.91	91	9
584	0.92	92	8
585	0.92	92	8
586	0.92	92	8
587	0.92	92	8
588	0.92	92	8
589	0.91	91	9
590	0.90	90	10
591	0.90	90	10
592	0.90	90	10
593	0.89	89	11
594	0.89	89	11
595	0.90	90	10
596	0.90	90	10
597	0.90	90	10
598	0.89	89	11
599	0.89	89	11
600	0.90	90	10
601	0.89	89	11
602	0.89	89	11
603	0.89	89	11
604	0.89	89	11
605	0.89	89	11
606	0.89	89	11
607	0.89	89	11
608	0.88	88	12
609	0.88	88	12
610	0.88	88	12
611	0.88	88	12
612	0.88	88	12
613	0.88	88	12
614	0.89	89	11
615	0.89	89	11
616	0.89	89	11
617	0.89	89	11
618	0.89	89	11
619	0.88	88	12
620	0.88	88	12
621	0.88	88	12
622	0.88	88	12
623	0.88	88	12
624	0.88	88	12
625	0.88	88	12
626	0.88	88	12
627	0.88	88	12
628	0.89	89	11
629	0.89	89	11
630	0.89	89	11
631	0.89	89	11
632	0.89	89	11
633	0.89	89	11
634	0.90	90	10
635	0.91	91	9
636	0.91	91	9
637	0.91	91	9
638	0.91	91	9
639	0.92	92	8
640	0.92	92	8
641	0.92	92	8
642	0.92	92	8
643	0.92	92	8
644	0.91	91	9
