timestep	swarm_quality	color_0	color_1	color_2	color_3	color_4
0	0.70	35	2	3	6	4
1	0.70	35	2	3	6	4
2	0.70	35	2	3	6	4
3	0.70	35	2	3	6	4
4	0.70	35	2	3	6	4
5	0.68	34	2	3	6	5
6	0.68	34	2	3	6	5
7	0.68	34	2	3	6	5
8	0.66	33	2	3	7	5
9	0.66	33	2	3	7	5
10	0.66	33	2	3	7	5
11	0.66	33	2	3	7	5
12	0.66	33	2	3	7	5
13	0.66	33	2	3	7	5
14	0.66	33	2	3	7	5
15	0.66	33	2	3	7	5
16	0.66	33	2	3	7	5
17	0.66	33	2	3	7	5
18	0.66	33	2	3	7	5
19	0.64	32	2	3	7	6
20	0.64	32	2	3	7	6
21	0.64	32	2	3	7	6
22	0.64	32	2	3	7	6
23	0.64	32	2	3	7	6
24	0.64	32	2	3	7	6
25	0.62	31	2	4	7	6
26	0.62	31	2	4	7	6
27	0.62	31	2	4	7	6
28	0.62	31	2	4	7	6
29	0.62	31	2	4	7	6
30	0.62	31	2	4	7	6
31	0.62	31	2	4	7	6
32	0.60	30	3	4	7	6
33	0.60	30	3	4	7	6
34	0.60	30	3	4	7	6
35	0.62	31	3	4	7	5
36	0.64	32	2	4	7	5
37	0.66	33	1	4	7	5
38	0.68	34	1	4	6	5
39	0.70	35	1	4	5	5
40	0.72	36	1	4	5	4
41	0.74	37	1	4	4	4
42	0.74	37	1	4	4	4
43	0.76	38	1	3	4	4
44	0.78	39	1	3	3	4
45	0.78	39	1	4	2	4
46	0.80	40	1	4	2	3
47	0.82	41	1	4	2	2
48	0.82	41	1	3	3	2
49	0.84	42	1	2	3	2
50	0.82	41	1	2	3	3
51	0.82	41	1	2	3	3
52	0.82	41	1	2	3	3
53	0.80	40	1	2	3	4
54	0.80	40	1	2	3	4
55	0.82	41	1	2	3	3
56	0.82	41	1	2	3	3
57	0.82	41	1	2	3	3
58	0.84	42	1	2	2	3
59	0.84	42	1	2	2	3
60	0.84	42	1	2	2	3
61	0.84	42	1	2	2	3
62	0.84	42	1	2	2	3
63	0.84	42	1	2	2	3
64	0.84	42	1	2	2	3
65	0.84	42	1	2	2	3
66	0.84	42	1	2	2	3
67	0.84	42	1	2	2	3
68	0.84	42	1	2	2	3
69	0.86	43	1	2	2	2
70	0.86	43	1	2	2	2
71	0.86	43	1	2	2	2
72	0.86	43	1	2	2	2
73	0.86	43	1	2	2	2
74	0.86	43	1	2	2	2
75	0.88	44	1	1	2	2
76	0.88	44	1	1	2	2
77	0.88	44	1	1	2	2
78	0.88	44	1	1	2	2
79	0.88	44	1	1	2	2
80	0.88	44	1	1	2	2
81	0.88	44	1	1	2	2
82	0.90	45	0	1	2	2
83	0.90	45	0	1	2	2
84	0.90	45	0	1	2	2
85	0.90	45	0	1	2	2
86	0.90	45	0	1	2	2
87	0.90	45	0	1	2	2
88	0.90	45	0	1	2	2
89	0.90	45	0	1	2	2
90	0.90	45	0	1	2	2
91	0.90	45	0	1	2	2
92	0.92	46	0	1	1	2
93	0.92	46	0	1	1	2
94	0.92	46	0	1	1	2
95	0.94	47	0	0	1	2
96	0.94	47	0	0	1	2
97	0.94	47	0	0	1	2
98	0.96	48	0	0	0	2
99	0.96	48	0	0	0	2
100	0.98	49	0	0	0	1
101	0.98	49	0	0	0	1
102	0.98	49	0	0	0	1
103	1.00	50	0	0	0	0
104	1.00	50	0	0	0	0
105	1.00	50	0	0	0	0
106	1.00	50	0	0	0	0
107	1.00	50	0	0	0	0
108	1.00	50	0	0	0	0
109	1.00	50	0	0	0	0
110	1.00	50	0	0	0	0
111	1.00	50	0	0	0	0
112	1.00	50	0	0	0	0
113	1.00	50	0	0	0	0
114	1.00	50	0	0	0	0
115	1.00	50	0	0	0	0
116	1.00	50	0	0	0	0
117	1.00	50	0	0	0	0
118	1.00	50	0	0	0	0
119	1.00	50	0	0	0	0
120	1.00	50	0	0	0	0
121	1.00	50	0	0	0	0
122	1.00	50	0	0	0	0
123	1.00	50	0	0	0	0
124	1.00	50	0	0	0	0
125	1.00	50	0	0	0	0
126	1.00	50	0	0	0	0
127	1.00	50	0	0	0	0
128	1.00	50	0	0	0	0
129	1.00	50	0	0	0	0
130	1.00	50	0	0	0	0
131	1.00	50	0	0	0	0
132	1.00	50	0	0	0	0
133	1.00	50	0	0	0	0
134	1.00	50	0	0	0	0
135	1.00	50	0	0	0	0
136	1.00	50	0	0	0	0
137	1.00	50	0	0	0	0
138	1.00	50	0	0	0	0
139	1.00	50	0	0	0	0
140	1.00	50	0	0	0	0
141	1.00	50	0	0	0	0
142	1.00	50	0	0	0	0
143	1.00	50	0	0	0	0
144	1.00	50	0	0	0	0
145	1.00	50	0	0	0	0
146	1.00	50	0	0	0	0
147	1.00	50	0	0	0	0
148	1.00	50	0	0	0	0
149	1.00	50	0	0	0	0
150	1.00	50	0	0	0	0
151	1.00	50	0	0	0	0
152	1.00	50	0	0	0	0
153	1.00	50	0	0	0	0
154	0.98	49	0	0	1	0
155	0.98	49	0	0	1	0
156	0.98	49	0	0	1	0
157	0.98	49	0	0	1	0
158	0.96	48	1	0	1	0
159	0.96	48	1	0	1	0
160	0.96	48	1	0	1	0
161	0.96	48	1	0	1	0
162	0.96	48	1	0	1	0
163	0.96	48	1	0	1	0
164	0.96	48	1	0	1	0
165	0.96	48	1	0	1	0
166	0.94	47	2	0	1	0
167	0.94	47	2	0	1	0
168	0.94	47	2	0	1	0
169	0.94	47	2	0	1	0
170	0.94	47	2	0	1	0
171	0.94	47	2	0	1	0
172	0.94	47	2	0	1	0
173	0.94	47	2	0	1	0
174	0.94	47	2	0	1	0
175	0.94	47	2	0	1	0
176	0.94	47	2	0	1	0
177	0.94	47	2	0	1	0
178	0.94	47	2	0	1	0
179	0.94	47	2	0	1	0
180	0.94	47	2	0	1	0
181	0.94	47	2	0	1	0
182	0.94	47	2	0	1	0
183	0.94	47	2	0	1	0
184	0.94	47	2	0	1	0
185	0.94	47	2	0	1	0
186	0.94	47	2	0	1	0
187	0.94	47	2	0	1	0
188	0.94	47	2	0	1	0
189	0.94	47	2	0	1	0
190	0.94	47	2	0	1	0
191	0.94	47	2	0	1	0
192	0.94	47	2	0	1	0
193	0.94	47	2	0	1	0
194	0.94	47	2	0	1	0
195	0.94	47	2	0	1	0
196	0.94	47	2	0	1	0
197	0.94	47	2	0	1	0
198	0.94	47	2	0	1	0
199	0.94	47	2	0	1	0
200	0.94	47	2	0	1	0
201	0.94	47	2	0	1	0
202	0.94	47	2	0	1	0
203	0.94	47	2	0	1	0
204	0.96	48	2	0	0	0
205	0.96	48	2	0	0	0
206	0.96	48	2	0	0	0
207	0.96	48	2	0	0	0
208	0.98	49	1	0	0	0
209	0.98	49	1	0	0	0
